m,TagName,
"2010-12-01 00:00:00","java","5679"
"2010-12-01 00:00:00","javascript","4953"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","php","5394"
"2010-12-01 00:00:00","python","2483"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1023"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1460"
"2011-01-01 00:00:00","c#","7988"
"2011-01-01 00:00:00","c++","3493"
"2011-01-01 00:00:00","delphi","369"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6541"
"2011-01-01 00:00:00","javascript","5424"
"2011-01-01 00:00:00","perl","478"
"2011-01-01 00:00:00","php","6440"
"2011-01-01 00:00:00","python","2903"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","ruby","1204"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c","1637"
"2011-02-01 00:00:00","c#","8223"
"2011-02-01 00:00:00","c++","3445"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6873"
"2011-02-01 00:00:00","javascript","5591"
"2011-02-01 00:00:00","perl","483"
"2011-02-01 00:00:00","php","6714"
"2011-02-01 00:00:00","python","3012"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1251"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2111"
"2011-03-01 00:00:00","c#","9988"
"2011-03-01 00:00:00","c++","4179"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8477"
"2011-03-01 00:00:00","javascript","6772"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8113"
"2011-03-01 00:00:00","python","3749"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2040"
"2011-04-01 00:00:00","c#","9281"
"2011-04-01 00:00:00","c++","4166"
"2011-04-01 00:00:00","delphi","402"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7900"
"2011-04-01 00:00:00","javascript","6878"
"2011-04-01 00:00:00","perl","552"
"2011-04-01 00:00:00","php","7662"
"2011-04-01 00:00:00","python","3341"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1824"
"2011-05-01 00:00:00","c#","10016"
"2011-05-01 00:00:00","c++","3882"
"2011-05-01 00:00:00","delphi","475"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8568"
"2011-05-01 00:00:00","javascript","7312"
"2011-05-01 00:00:00","perl","582"
"2011-05-01 00:00:00","php","8109"
"2011-05-01 00:00:00","python","3516"
"2011-05-01 00:00:00","r","427"
"2011-05-01 00:00:00","ruby","1566"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1764"
"2011-06-01 00:00:00","c#","9763"
"2011-06-01 00:00:00","c++","3812"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7914"
"2011-06-01 00:00:00","javascript","7687"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8048"
"2011-06-01 00:00:00","python","3470"
"2011-06-01 00:00:00","r","444"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1659"
"2011-07-01 00:00:00","c#","9610"
"2011-07-01 00:00:00","c++","3851"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8164"
"2011-07-01 00:00:00","javascript","8116"
"2011-07-01 00:00:00","perl","659"
"2011-07-01 00:00:00","php","8707"
"2011-07-01 00:00:00","python","3661"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","160"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","10076"
"2011-08-01 00:00:00","c++","3952"
"2011-08-01 00:00:00","delphi","424"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8693"
"2011-08-01 00:00:00","javascript","8916"
"2011-08-01 00:00:00","perl","613"
"2011-08-01 00:00:00","php","8948"
"2011-08-01 00:00:00","python","3828"
"2011-08-01 00:00:00","r","587"
"2011-08-01 00:00:00","ruby","1860"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1916"
"2011-09-01 00:00:00","c#","9306"
"2011-09-01 00:00:00","c++","3946"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8332"
"2011-09-01 00:00:00","javascript","8198"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8086"
"2011-09-01 00:00:00","python","3520"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1549"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9228"
"2011-10-01 00:00:00","c++","4354"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8565"
"2011-10-01 00:00:00","javascript","8041"
"2011-10-01 00:00:00","perl","554"
"2011-10-01 00:00:00","php","8084"
"2011-10-01 00:00:00","python","3625"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","ruby","1616"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","210"
"2011-11-01 00:00:00","c","2198"
"2011-11-01 00:00:00","c#","9914"
"2011-11-01 00:00:00","c++","4483"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9654"
"2011-11-01 00:00:00","javascript","8697"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","php","8710"
"2011-11-01 00:00:00","python","3876"
"2011-11-01 00:00:00","r","607"
"2011-11-01 00:00:00","ruby","1741"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2005"
"2011-12-01 00:00:00","c#","9323"
"2011-12-01 00:00:00","c++","4362"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9217"
"2011-12-01 00:00:00","javascript","8347"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8355"
"2011-12-01 00:00:00","python","3624"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1686"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2234"
"2012-01-01 00:00:00","c#","10458"
"2012-01-01 00:00:00","c++","4549"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10155"
"2012-01-01 00:00:00","javascript","9613"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","php","9339"
"2012-01-01 00:00:00","python","4212"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1907"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","c","2407"
"2012-02-01 00:00:00","c#","10765"
"2012-02-01 00:00:00","c++","5105"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10965"
"2012-02-01 00:00:00","javascript","9998"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9955"
"2012-02-01 00:00:00","python","4492"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","ruby","2046"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","262"
"2012-03-01 00:00:00","c","2732"
"2012-03-01 00:00:00","c#","11605"
"2012-03-01 00:00:00","c++","5238"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12412"
"2012-03-01 00:00:00","javascript","10724"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","php","10918"
"2012-03-01 00:00:00","python","5041"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2194"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2670"
"2012-04-01 00:00:00","c#","11133"
"2012-04-01 00:00:00","c++","5311"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","12038"
"2012-04-01 00:00:00","javascript","10681"
"2012-04-01 00:00:00","perl","599"
"2012-04-01 00:00:00","php","10429"
"2012-04-01 00:00:00","python","4921"
"2012-04-01 00:00:00","r","843"
"2012-04-01 00:00:00","ruby","1971"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","226"
"2012-05-01 00:00:00","c","2484"
"2012-05-01 00:00:00","c#","11579"
"2012-05-01 00:00:00","c++","4988"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12191"
"2012-05-01 00:00:00","javascript","11526"
"2012-05-01 00:00:00","perl","644"
"2012-05-01 00:00:00","php","10955"
"2012-05-01 00:00:00","python","5102"
"2012-05-01 00:00:00","r","876"
"2012-05-01 00:00:00","ruby","1979"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2311"
"2012-06-01 00:00:00","c#","11323"
"2012-06-01 00:00:00","c++","4653"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11107"
"2012-06-01 00:00:00","javascript","11240"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10597"
"2012-06-01 00:00:00","python","5280"
"2012-06-01 00:00:00","r","974"
"2012-06-01 00:00:00","ruby","1889"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2371"
"2012-07-01 00:00:00","c#","12319"
"2012-07-01 00:00:00","c++","5281"
"2012-07-01 00:00:00","delphi","441"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12257"
"2012-07-01 00:00:00","javascript","12313"
"2012-07-01 00:00:00","perl","667"
"2012-07-01 00:00:00","php","11749"
"2012-07-01 00:00:00","python","5724"
"2012-07-01 00:00:00","r","1120"
"2012-07-01 00:00:00","ruby","2060"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2319"
"2012-08-01 00:00:00","c#","11950"
"2012-08-01 00:00:00","c++","5164"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12256"
"2012-08-01 00:00:00","javascript","12434"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11899"
"2012-08-01 00:00:00","python","5863"
"2012-08-01 00:00:00","r","1089"
"2012-08-01 00:00:00","ruby","2061"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","c","2532"
"2012-09-01 00:00:00","c#","11275"
"2012-09-01 00:00:00","c++","4910"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","java","11621"
"2012-09-01 00:00:00","javascript","11171"
"2012-09-01 00:00:00","perl","663"
"2012-09-01 00:00:00","php","11003"
"2012-09-01 00:00:00","python","5247"
"2012-09-01 00:00:00","r","1059"
"2012-09-01 00:00:00","ruby","1958"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3152"
"2012-10-01 00:00:00","c#","12717"
"2012-10-01 00:00:00","c++","5913"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13498"
"2012-10-01 00:00:00","javascript","12426"
"2012-10-01 00:00:00","perl","685"
"2012-10-01 00:00:00","php","11798"
"2012-10-01 00:00:00","python","6129"
